cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
SK-MEL-31	Homo sapiens	skin	melanoma	not available	not available	female	not available	not available
SK-MEL-3	Homo sapiens	skin	melanoma	42 year	not available	female	not available	not available
SK-MEL-30	Homo sapiens	skin	cutaneous melanoma; melanoma	67 year	not available	male	not available	not available
SK-MES-1	Homo sapiens	lung	squamous cell lung carcinoma	65 year	not available	male	not available	not available
SW403	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	not available	not available	female	not available	not available
SW480	Homo sapiens	large intestine; colon	colon adenocarcinoma	50	adult	male	not available
MOLT-16	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
MOLT-13	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
NCI-H1623	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	58 year	not available	male	not available	not available
MOLM-6	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	not available	not available	not available	not available	not available
MOLM-16	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute myeloid leukemia	not available	not available	female	not available	not available
MOLP-8	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	52 year	not available	male	not available	not available
MOLP-2	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	55 year	not available	male	not available	not available
ML-1	Homo sapiens	thyroid gland	follicular thyroid carcinoma	not available	not available	not available	not available	not available
MKN7	Homo sapiens	stomach	gastric tubular adenocarcinoma	not available	not available	not available	not available	not available
MOLM-13	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	not available	not available	not available	not available	not available
MM1-S	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
KP-N-SI9s	Homo sapiens	autonomic ganglion	neuroblastoma	not available	not available	not available	not available	not available
KP-N-YN	Homo sapiens	autonomic ganglion	neuroblastoma	not available	not available	not available	not available	not available
KS-1	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
KU-19-19	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
KP4	Homo sapiens	pancreas	pancreatic carcinoma; pancreatic in situ ductal carcinoma	50 year	not available	male	not available	not available
KPL-1	Homo sapiens	breast; mammary gland	invasive ductal carcinoma; breast ductal adenocarcinoma; breast carcinoma	not available	adult	female	not available
KP-MRT-RY	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	not available	not available	not available	not available	not available
KP-N-RT-BM-1	Homo sapiens	autonomic ganglion	neuroblastoma	not available	not available	not available	not available	not available
ChaGo-K-1	Homo sapiens	lung	bronchogenic carcinoma; lung carcinoma	45 year	not available	male	not available	not available
KU812	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenous leukemia	not available	not available	male; not available	not available	not available
KURAMOCHI	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian carcinoma	not available	adult	not available; female	not available	not available
CH-157MN	Homo sapiens	central nervous system	meningioma	not available	not available	not available	not available	not available
CHP-212	Homo sapiens	autonomic ganglion	neuroblastoma	not available	not available	not available	not available	not available
Toledo	Homo sapiens	hematopoietic system and lymphoid system; blood	diffuse large B-cell lymphoma; B-cell lymphoma	not available	adult	female	not available
TOV-112D	Homo sapiens	ovary	ovarian endometrioid adenocarcinoma; endometrioid adenocarcinoma; Ovarian Endometrioid Adenocarcinoma	42 year	adult	female	not available	not available
Tm87-16	Homo sapiens	soft tissue	extrarenal rhabdoid tumor	not available	not available	not available	not available	not available
TO 175.T	Homo sapiens	fibroblast	Hodgkins lymphoma	not available	not available	not available	not available	not available
TIG-3 TD	Homo sapiens	fibroblast	normal cell line	not available	not available	not available	not available	not available
TM-31	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
SH-4	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
THP-1	Homo sapiens	hematopoietic system and lymphoid system; blood	childhood acute monocytic leukemia; acute monocytic leukemia	1 year	infant	male	not available
TEN	Homo sapiens	endometrium	endometrial carcinoma	not available	not available	not available	not available	not available
TF-1	Homo sapiens	hematopoietic system and lymphoid system	erythroleukemia	not available	not available	not available	not available	not available
RKN	Homo sapiens	soft tissue	ovarian leiomyosarcoma	45 year	not available	female	not available	not available
SCC-9	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	25 year	not available	male	not available	not available
SCLC-21H	Homo sapiens	lung	small cell lung carcinoma	46 year	not available	male	not available	not available
SCC-25	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
SCC-4	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
SCaBER	Homo sapiens	urinary tract	bladder squamous cell carcinoma	not available	not available	not available	not available	not available
SCC-15	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
Saos-2	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
SBC-5	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
LC-1F	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
SALE	Homo sapiens	lung	normal cell line	not available	not available	not available	not available	not available
NCI-H2342	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
NCI-H2291	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
NCI-H2171	Homo sapiens	lung	small cell lung carcinoma	50 year	not available	male	not available	not available
NCI-H2170	Homo sapiens	lung	squamous cell lung carcinoma; squamous cell carcinoma	not available	not available	male	not available	not available
NCI-H2196	Homo sapiens	lung	small cell lung carcinoma	67 year	not available	male	not available	not available
NCI-H2172	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	female	not available	not available
NCI-H2228	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	not available	female	not available	not available
NCI-H2227	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H2286	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
LCLC-103H	Homo sapiens	lung	large cell lung carcinoma	61 year	not available	male	not available	not available
BICR 6	Homo sapiens	upper digestive tract	hypopharyngeal squamous cell carcinoma	not available	not available	not available	not available	not available
BICR 56	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
BL-70	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma	not available	not available	not available	not available	not available
BL-41	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma	not available	not available	not available	not available	not available
BICR 18	Homo sapiens	upper digestive tract	oral squamous cell carcinoma	not available	not available	not available	not available	not available
BICR 16	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
BICR 31	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
BICR 22	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
BT-20	Homo sapiens	breast	invasive ductal carcinoma; breast carcinoma	74 year	not available	female	not available	not available
BT-12	Homo sapiens	soft tissue	atypical teratoid rhabdoid tumor	not available	not available	not available	not available	not available
HMCB	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
HMC-1-8	Homo sapiens	breast	breast carcinoma	not available	not available	not available	not available	not available
TE-9	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
Hep G2	Homo sapiens	liver	hepatoblastoma; hepatocellular carcinoma	15 year	not available	male	not available	not available
Hep 3B2.1-7	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
HGC-27	Homo sapiens	stomach	gastric carcinoma	not available	not available	not available	not available	not available
Hey-A8	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	not available	not available	not available	not available
HH	Homo sapiens	hematopoietic system and lymphoid system	cutaneous T-cell lymphoma	not available	not available	not available	not available	not available
HLF	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
HLF-a	Homo sapiens	fibroblast	squamous cell lung carcinoma	not available	not available	not available	not available	not available
CI-1	Homo sapiens	hematopoietic system and lymphoid system	B-cell non-Hodgkins lymphoma; non-Hodgkin's lymphoma	38 year	not available	female	not available	not available
CJM	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
CL-11	Homo sapiens	large intestine	colon adenocarcinoma; colon carcinoma	not available	not available	not available	not available	not available
CL-14	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
CL-34	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	female	not available	not available
CL-40	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	not available	not available	female	not available	not available
CMK	Homo sapiens	hematopoietic system and lymphoid system	childhood acute megakaryoblastic leukemia	not available	not available	not available	not available	not available
CML-T1	Homo sapiens	hematopoietic system and lymphoid system	chronic myelogenous leukemia	not available	not available	female	not available	not available
COLO 201	Homo sapiens	large intestine	colon adenocarcinoma	70 year	not available	male	not available	not available
COLO-320	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
SK-N-DZ	Homo sapiens	autonomic ganglion	neuroblastoma	2 year	not available	female	not available	not available
P31/FUJ	Homo sapiens	hematopoietic system and lymphoid system	acute myeloid leukemia	not available	not available	not available	not available	not available
P12-ICHIKAWA	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
Panc 02.03	Homo sapiens	pancreas	pancreatic adenocarcinoma	70 year	not available	female	not available	not available
P3HR-1	Homo sapiens	hematopoietic system and lymphoid system	Epstein-Barr virus-related Burkitt lymphoma	not available	not available	not available	not available	not available
NCI-H69	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H716	Homo sapiens	large intestine	cecum adenocarcinoma	not available	not available	male	not available	not available
OVTOKO	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	78 year	not available	female	not available	not available
OVSAHO	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian papillary serous adenocarcinoma	not available; 56	adult	not available; female	not available
NCI-H650	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H660	Homo sapiens	prostate	prostate carcinoma	not available	not available	not available	not available	not available
NCI-H661	Homo sapiens	lung	large cell lung carcinoma	not available	not available	male	not available	not available
NCI-H684	Homo sapiens	liver	colon adenocarcinoma	not available	not available	not available	not available	not available
NCI-H524	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H526	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H596	Homo sapiens	lung	adenosquamous lung carcinoma; lung adenosquamous carcinoma	73 year	not available	male	not available	not available
NCI-H647	Homo sapiens	lung	adenosquamous lung carcinoma	not available	not available	not available	not available	not available
697	Homo sapiens	hematopoietic system and lymphoid system	B-cell acute lymphoblastic leukemia	not available	not available	not available	not available	not available
647-V	Homo sapiens	urinary tract	bladder transitional cell carcinoma	not available	not available	not available	not available	not available
253J	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
253J-BV	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
23132/87	Homo sapiens	stomach	gastric adenocarcinoma	72 year	not available	male	not available	not available
22Rv1	Homo sapiens	prostate	prostate carcinoma	not available	not available	not available	not available	not available
639-V	Homo sapiens	urinary tract	ureter urothelial carcinoma	not available	not available	not available	not available	not available
59M	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian carcinoma; ovarian serous adenocarcinoma	not available	adult	female	not available	not available
5637	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
42-MG-BA	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
HCC1954	Homo sapiens	breast	breast ductal adenocarcinoma	61 year	not available	female	not available	not available
HCC202	Homo sapiens	breast	breast ductal adenocarcinoma	82 year	not available	not available	not available	not available
HCC-15	Homo sapiens	lung	squamous cell lung carcinoma; non-small cell lung carcinoma	48 year	not available	male	not available	not available
HCC1806	Homo sapiens	breast	squamous cell breast carcinoma, acantholytic variant; squamous cell breast carcinoma; breast squamous cell carcinoma	60 year	not available	female; not available	not available	not available
HCC-1833	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HCC1937	Homo sapiens	breast	breast ductal adenocarcinoma	23 year	not available	female; not available	not available	not available
HCC1500	Homo sapiens	breast	breast ductal adenocarcinoma	32 year	not available	female	not available	not available
HCC1569	Homo sapiens	breast; mammary gland	breast ductal adenocarcinoma; breast metaplastic carcinoma; metaplastic breast carcinoma	70 year; 70	adult	female	not available
HCC-1588	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
HCC1599	Homo sapiens	breast	breast ductal adenocarcinoma	44 year	not available	female; not available	not available	not available
Sq-1	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
LoVo	Homo sapiens	large intestine	colon adenocarcinoma	56 year	not available	male	not available	not available
LOX IMVI	Homo sapiens	skin	amelanotic melanoma	not available	not available	not available	not available	not available
NCI-H1563	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
NCI-H146	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H1573	Homo sapiens	lung	lung adenocarcinoma; adenocarcinoma	not available; 35	adult	not available; female	not available
NCI-H1568	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	48 year	not available	female	not available	not available
NCI-H1618	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H1581	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	44 year	not available	male	not available	not available
CA46	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma; malignant Burkitt's lymphoma	not available	not available	male	not available	not available
CACO2	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
BT-474	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	60 year	not available	female	not available	not available
BT-483	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	23 year	not available	female	not available	not available
BT-549	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	72 year	not available	female	not available	not available
BV-173	Homo sapiens	hematopoietic system and lymphoid system	chronic myelogenous leukemia	not available	not available	male	not available	not available
BxPC-3	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	61 year; 61	adult	female	not available
C2BBe1	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	72 year	not available	male	not available	not available
C32	Homo sapiens	skin	amelanotic melanoma; melanoma	53 year	not available	male	not available	not available
C8166	Homo sapiens	hematopoietic system and lymphoid system	adult T-cell leukemia/lymphoma	not available	not available	not available	not available	not available
Hs 172.T	Homo sapiens	fibroblast	bladder carcinoma	not available	not available	not available	not available	not available
Hs 229.T	Homo sapiens	fibroblast	lung adenocarcinoma	not available	not available	not available	not available	not available
HOP-62	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	not available	not available	not available	not available
HOP-92	Homo sapiens	lung	non-small cell lung carcinoma; large cell lung carcinoma	not available	not available	not available	not available	not available
HMEL	Homo sapiens	breast	normal cell line	not available	not available	not available	not available	not available
HNT-34	Homo sapiens	hematopoietic system and lymphoid system	acute myeloid leukemia	47 year	not available	female	not available	not available
HPAF-II	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	not available	not available	male	not available	not available
HPB-ALL	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
HOS	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
HPAC	Homo sapiens	pancreas	pancreatic adenocarcinoma	64 year	not available	female	not available	not available
EWS502	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
EW8	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
FaDu	Homo sapiens	upper digestive tract	hypopharyngeal squamous cell carcinoma; nasopharyngeal squamous cell carcinoma	not available	not available	not available	not available	not available
F-36P	Homo sapiens	hematopoietic system and lymphoid system	myelodysplastic syndrome	not available	not available	not available	not available	not available
EPLC-272H	Homo sapiens	lung	pulmonary mucoepidermoid carcinoma; lung carcinoma	57 year	not available	male	not available	not available
EOL-1	Homo sapiens	hematopoietic system and lymphoid system	chronic eosinophilic leukemia	not available	not available	not available	not available	not available
ESS-1	Homo sapiens	endometrium	endometrial stromal sarcoma	not available	not available	not available	not available	not available
ES-2	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	47 year	not available	female	not available	not available
VM-CUB1	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
ZR-75-1	Homo sapiens	breast; mammary gland	invasive ductal carcinoma; breast ductal adenocarcinoma	63 year; 63	adult	not available; female	not available	ZR75-1, ZR751
WM983B	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
WM-88	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
ZR-75-30	Homo sapiens	breast	invasive ductal carcinoma; ductal carcinoma; breast ductal adenocarcinoma	47 year	not available	female	not available	not available
VCaP	Homo sapiens	prostate; prostate gland	prostate carcinoma	59	adult	male	not available
YAPC	Homo sapiens	pancreas	pancreatic carcinoma	43 year	not available	male	not available	not available
WSU-DLCL2	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse large B cell lymphoma; B-cell lymphoma	41 year	not available	male	not available	not available
YD-15	Homo sapiens	salivary gland	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
YD-10B	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
YD-8	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
YD-38	Homo sapiens	upper digestive tract	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
YKG1	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
YH-13	Homo sapiens	central nervous system	glioblastoma; glioblastoma multiforme	not available	not available	male	not available	not available
WM-266-4	Homo sapiens	skin; skin 	melanoma	58 year		female	not available
VMRC-RCZ	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
WM1799	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
VMRC-RCW	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
WM-115	Homo sapiens	skin	melanoma	58 year	not available	female	not available	not available
WM-793	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
RXF393	Homo sapiens	kidney	renal cancer; renal cell carcinoma	not available	not available	male	not available	not available
CAKI1	Homo sapiens	kidney	renal cancer	not available	not available	not available	not available	not available
SKMEL2	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
HT29	Homo sapiens	colon	colorectal cancer	not available	not available	not available	not available	not available
SKMEL5	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
HL60	Homo sapiens	blood	leukemia	not available	not available	not available	not available	not available
SKMEL28	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
H322M	Homo sapiens	lung	lung cancer	not available	not available	not available	not available	not available
UACC62	Homo sapiens	::	melanoma	not available	not available	not available	not available	not available
MALME3M	Homo sapiens		melanoma	not available	not available	not available	not available	not available
H522	Homo sapiens	lung	lung cancer	not available	not available	not available	not available	not available
TK10	Homo sapiens	kidney	renal cancer; renal cell carcinoma	not available	not available	male	not available	not available
UACC257	Homo sapiens		melanoma	not available	not available	not available	not available	not available
DU145	Homo sapiens	prostate	prostate cancer; prostate carcinoma	69	adult	male	not available
MOLT4	Homo sapiens		leukemia	not available	not available	not available	not available	not available
H460	Homo sapiens	lung	lung cancer	not available	not available	not available	not available	not available
U251	Homo sapiens	brain	central nervous system cancer; glioblastoma multiforme	not available	not available	male	not available	not available
MDAMB468	Homo sapiens	breast; mammary gland	breast cancer; breast adenocarcinoma; adenocarcinoma		not available	not available	not available
H226	Homo sapiens	lung	lung cancer	not available	not available	not available	not available	not available
MCF7ADR	Homo sapiens	ovary	ovarian cancer	not available	not available	not available	not available	not available
H23	Homo sapiens	lung	lung cancer	not available	not available	not available	not available	not available
PC3	Homo sapiens	prostate	prostate cancer	not available	not available	not available	not available	not available
SLVL	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	not available	not available	female	not available	not available
WM35	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
ARH-77	Homo sapiens	hematopoietic system	plasma cell leukemia	not available	not available	female	not available	not available
SUP-HD1	Homo sapiens	hematopoietic system	Hodgkins lymphoma	not available	not available	male	not available	not available
DU-145	Homo sapiens	prostate gland	prostate adenocarcinoma	not available	not available	male	not available	not available
SW1088	Homo sapiens	brain	glioblastoma multiforme	not available	not available	male	not available	not available
SW1573	Homo sapiens	lung	non-small cell lung adenocarcinoma	not available	not available	female	not available	not available
U-266	Homo sapiens	hematopoietic system	multiple myeloma	not available	not available	male	not available	not available
VM-CUB-1	Homo sapiens	urinary bladder	bladder transitional cell carcinoma	not available	not available	male	not available	not available
SW1710	Homo sapiens	urinary bladder	bladder carcinoma	not available	not available	female	not available	not available
SW626	Homo sapiens	ovary	ovarian adenocarcinoma	not available	not available	female	not available	not available
SW780	Homo sapiens	urinary bladder	bladder carcinoma	not available	not available	female	not available	not available
TE-441-T	Homo sapiens	musculature	rhabdomyosarcoma	not available	not available	female	not available	not available
COLO-205	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	male	not available	not available
H2369	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2373	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2461	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2591	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2595	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2722	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2731	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2795	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2803	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2804	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2810	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2818	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H2869	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H290	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
H513	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
HCT-116	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	male	not available	not available
LS-180	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	female	not available	not available
LS-513	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	male	not available	not available
NCI-H630	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	male	not available	not available
SNU-C2B	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	female	not available	not available
CaR-1	Homo sapiens	large intestine	colorectal adenocarcinoma; colon adenocarcinoma	not available	not available	not available	not available	not available
DIFI	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	not available	not available	not available
GP5d	Homo sapiens	large intestine	colorectal adenocarcinoma; colon adenocarcinoma	not available	not available	female; not available	not available	not available
HT-115	Homo sapiens	large intestine	colorectal adenocarcinoma; colon carcinoma	not available	not available	not available	not available	not available
201T	Homo sapiens	lung	non-small cell lung adenocarcinoma	not available	not available	not available	not available	not available
CAL-72	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
COLO-320-HSR	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	not available	not available	not available
COR-L303	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
COR-L32	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
COR-L321	Homo sapiens	lung	lung carcinoma	not available	not available	female	not available	not available
CPC-N	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
EMC-BAC-1	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
EMC-BAC-2	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HuO-3N1	Homo sapiens	bone	osteosarcoma	not available	not available	female	not available	not available
HuO9	Homo sapiens	bone	osteosarcoma	not available	not available	female	not available	not available
IST-SL1	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
IST-SL2	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
LB647-SCLC	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
LC-1-sq	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	male	not available	not available
LC-2-ad	Homo sapiens	lung	non-small cell lung adenocarcinoma	not available	not available	female	not available	not available
LU-134-A	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
LU-135	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
LU-139	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
LU-165	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
MS-1	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H128	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H1304	Homo sapiens	lung	small cell lung carcinoma	not available	not available	female	not available	not available
NCI-H1417	Homo sapiens	lung	small cell lung carcinoma	not available	not available	female	not available	not available
NCI-H1688	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H1770	Homo sapiens	lung	lung carcinoma; non-small cell lung carcinoma	57 year	not available	male; not available	not available	not available
NCI-H187	Homo sapiens	lung	small cell lung carcinoma	47 year	not available	male	not available	not available
NCI-H1993	Homo sapiens	lung	non-small cell lung adenocarcinoma	not available	not available	female	not available	not available
NCI-H2135	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H2141	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H250	Homo sapiens	lung	small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H345	Homo sapiens	lung	small cell lung carcinoma	64 year	not available	male	not available	not available
NCI-H378	Homo sapiens	lung	small cell lung carcinoma	not available	not available	female	not available	not available
NOS-1	Homo sapiens	bone	osteosarcoma	not available	not available	male	not available	not available
NY	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
143b	Homo sapiens	bone	osteosarcoma	not available	not available	female	not available	not available
HOSMNNG	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
HAL	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
KPD	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
OST	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
OHS	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
MHM	Homo sapiens	bone	osteosarcoma	not available	not available	not available	not available	not available
451Lu	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
A388	Homo sapiens	skin	squamous cell carcinoma	not available	not available	male	not available	not available
A431	Homo sapiens	skin	carcinoma; squamous cell carcinoma			female	not available
CHL-1	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
CHSA0011	Homo sapiens	bone	chondrosarcoma	not available	not available	not available	not available	not available
