cellosaurus name	cellosaurus accession	bto cell line	organism	age	developmental stage	sex	ancestry category	disease	cell type	sampling site	synonyms
ND16275	CVCL_FE62	no available	Homo sapiens	60Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16278	CVCL_GM39	no available	Homo sapiens	66Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16280	CVCL_GM40	no available	Homo sapiens	64Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16285	CVCL_CQ56	no available	Homo sapiens	62Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16290	CVCL_BS68	no available	Homo sapiens	58Y	no available	Male	no available	Amyotrophic lateral sclerosis	no available	Peripheral blood	no available
ND16293	CVCL_FL78	no available	Homo sapiens	11Y	no available	Male	no available	Seizure disorder	no available	Peripheral blood	no available
ND16296	CVCL_CQ57	no available	Homo sapiens	55Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16297	CVCL_CQ58	no available	Homo sapiens	51Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16309	CVCL_EC88	no available	Homo sapiens	84Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16311	CVCL_EC89	no available	Homo sapiens	83Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16316	CVCL_CQ59	no available	Homo sapiens	54Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16317	CVCL_CQ60	no available	Homo sapiens	52Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16321	CVCL_CQ61	no available	Homo sapiens	72Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16326	CVCL_EH65	no available	Homo sapiens	74Y	no available	Male	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND16327	CVCL_GM41	no available	Homo sapiens	68Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16329	CVCL_EC90	no available	Homo sapiens	55Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16332	CVCL_FL79	no available	Homo sapiens	4Y	no available	Male	no available	Seizure disorder	no available	Peripheral blood	no available
ND16334	CVCL_CQ62	no available	Homo sapiens	73Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16336	CVCL_EC91	no available	Homo sapiens	67Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16347	CVCL_CQ63	no available	Homo sapiens	51Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16348	CVCL_CQ64	no available	Homo sapiens	44Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16350	CVCL_EC92	no available	Homo sapiens	46Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16351	CVCL_EC93	no available	Homo sapiens	57Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16357	CVCL_IF32	no available	Homo sapiens	73Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16358	CVCL_IF33	no available	Homo sapiens	69Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16359	CVCL_CQ65	no available	Homo sapiens	63Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16371	CVCL_CQ66	no available	Homo sapiens	57Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16372	CVCL_CQ67	no available	Homo sapiens	42Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16373	CVCL_CQ68	no available	Homo sapiens	57Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16375	CVCL_EH66	no available	Homo sapiens	75Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND16376	CVCL_GM42	no available	Homo sapiens	77Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16377	CVCL_CQ69	no available	Homo sapiens	55Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16378	CVCL_GM43	no available	Homo sapiens	74Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16381	CVCL_IF34	no available	Homo sapiens	55Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16383	CVCL_CQ70	no available	Homo sapiens	69Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16384	CVCL_CQ71	no available	Homo sapiens	49Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16385	CVCL_GM44	no available	Homo sapiens	74Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16388	CVCL_IF35	no available	Homo sapiens	67Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16389	CVCL_CQ72	no available	Homo sapiens	54Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16390	CVCL_CQ73	no available	Homo sapiens	37Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16392	CVCL_CQ74	no available	Homo sapiens	68Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16393	CVCL_CQ75	no available	Homo sapiens	40Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16394	CVCL_CQ76	no available	Homo sapiens	71Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16395	CVCL_CQ77	no available	Homo sapiens	64Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16399	CVCL_CQ78	no available	Homo sapiens	55Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16401	CVCL_CQ79	no available	Homo sapiens	57Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16403	CVCL_EC94	no available	Homo sapiens	65Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16406	CVCL_CQ80	no available	Homo sapiens	34Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16409	CVCL_CQ81	no available	Homo sapiens	75Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16410	CVCL_CQ82	no available	Homo sapiens	88Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16411	CVCL_CQ83	no available	Homo sapiens	61Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16413	CVCL_CQ84	no available	Homo sapiens	48Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16426	CVCL_CQ85	no available	Homo sapiens	57Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16429	CVCL_CQ86	no available	Homo sapiens	56Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16437	CVCL_FE63	no available	Homo sapiens	64Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16439	CVCL_CQ87	no available	Homo sapiens	61Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16441	CVCL_CQ88	no available	Homo sapiens	84Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16449	CVCL_GM45	no available	Homo sapiens	45Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16455	CVCL_CQ89	no available	Homo sapiens	52Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16457	CVCL_GM46	no available	Homo sapiens	66Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16459	CVCL_EC95	no available	Homo sapiens	46Y	no available	Male	African American	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16462	CVCL_IF36	no available	Homo sapiens	45Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16463	CVCL_IF37	no available	Homo sapiens	41Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16464	CVCL_CQ90	no available	Homo sapiens	53Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16465	CVCL_CQ91	no available	Homo sapiens	72Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16467	CVCL_GM47	no available	Homo sapiens	76Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16470	CVCL_EH67	no available	Homo sapiens	60Y	no available	Male	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND16471	CVCL_IF38	no available	Homo sapiens	53Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16477	CVCL_GM48	no available	Homo sapiens	76Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16479	CVCL_EH68	no available	Homo sapiens	72Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND16480	CVCL_IF39	no available	Homo sapiens	74Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16481	CVCL_GM49	no available	Homo sapiens	73Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16483	CVCL_CQ92	no available	Homo sapiens	45Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16488	CVCL_EH69	no available	Homo sapiens	61Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND16489	CVCL_GM50	no available	Homo sapiens	63Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16490	CVCL_CQ93	no available	Homo sapiens	59Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16491	CVCL_EC96	no available	Homo sapiens	35Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16492	CVCL_CQ94	no available	Homo sapiens	60Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16493	CVCL_CQ95	no available	Homo sapiens	70Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16497	CVCL_EH70	no available	Homo sapiens	73Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND16498	CVCL_IG83	no available	Homo sapiens	82Y	no available	Male	no available	Cerebrovascular accident	no available	Peripheral blood	no available
ND16499	CVCL_CQ96	no available	Homo sapiens	78Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16502	CVCL_CQ97	no available	Homo sapiens	74Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16503	CVCL_CQ98	no available	Homo sapiens	47Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16504	CVCL_EC97	no available	Homo sapiens	64Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16505	CVCL_GM51	no available	Homo sapiens	56Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16506	CVCL_CQ99	no available	Homo sapiens	60Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16512	CVCL_FF51	no available	Homo sapiens	50Y	no available	Male	African American	no available	no available	Peripheral blood	no available
ND16535	CVCL_EC98	no available	Homo sapiens	62Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16536	CVCL_EC99	no available	Homo sapiens	71Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16546	CVCL_CR00	no available	Homo sapiens	58Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16547	CVCL_CR01	no available	Homo sapiens	69Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16553	CVCL_IF40	no available	Homo sapiens	46Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16555	CVCL_FF52	no available	Homo sapiens	45Y	no available	Male	African American	no available	no available	Peripheral blood	no available
ND16556	CVCL_FE64	no available	Homo sapiens	70Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16557	CVCL_GM52	no available	Homo sapiens	72Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16558	CVCL_CR02	no available	Homo sapiens	46Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16561	CVCL_IM11	no available	Homo sapiens	no available	no available	Male	no available	Primary lateral sclerosis	no available	Peripheral blood	no available
ND16563	CVCL_CR03	no available	Homo sapiens	42Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16564	CVCL_ED00	no available	Homo sapiens	59Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16565	CVCL_ED01	no available	Homo sapiens	52Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16567	CVCL_CR04	no available	Homo sapiens	56Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16569	CVCL_CR05	no available	Homo sapiens	36Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16577	CVCL_IF41	no available	Homo sapiens	75Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16578	CVCL_EH71	no available	Homo sapiens	65Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND16579	CVCL_GM53	no available	Homo sapiens	65Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16584	CVCL_GM54	no available	Homo sapiens	69Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16585	CVCL_GM55	no available	Homo sapiens	71Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16594	CVCL_CR06	no available	Homo sapiens	53Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16595	CVCL_BS69	no available	Homo sapiens	61Y	no available	Male	no available	Amyotrophic lateral sclerosis	no available	Peripheral blood	no available
ND16597	CVCL_FE65	no available	Homo sapiens	67Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16599	CVCL_ED02	no available	Homo sapiens	58Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16602	CVCL_ED03	no available	Homo sapiens	64Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16608	CVCL_GM56	no available	Homo sapiens	70Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16612	CVCL_CR07	no available	Homo sapiens	56Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16613	CVCL_CR08	no available	Homo sapiens	57Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16614	CVCL_GM57	no available	Homo sapiens	64Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16616	CVCL_CR09	no available	Homo sapiens	60Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16620	CVCL_GM58	no available	Homo sapiens	55Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16621	CVCL_IF42	no available	Homo sapiens	75Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16622	CVCL_IF43	no available	Homo sapiens	51Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16623	CVCL_IF44	no available	Homo sapiens	21Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16624	CVCL_IF45	no available	Homo sapiens	18Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16625	CVCL_IF46	no available	Homo sapiens	18Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16626	CVCL_IF47	no available	Homo sapiens	53Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16634	CVCL_CR10	no available	Homo sapiens	52Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16636	CVCL_ED04	no available	Homo sapiens	64Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16644	CVCL_GM59	no available	Homo sapiens	64Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16647	CVCL_ED05	no available	Homo sapiens	47Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16650	CVCL_EH72	no available	Homo sapiens	62Y	no available	Male	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND16651	CVCL_GM60	no available	Homo sapiens	58Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16653	CVCL_CR11	no available	Homo sapiens	66Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16654	CVCL_CR12	no available	Homo sapiens	47Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16656	CVCL_GM61	no available	Homo sapiens	70Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16667	CVCL_ED06	no available	Homo sapiens	47Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16669	CVCL_ED07	no available	Homo sapiens	70Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16674	CVCL_CR13	no available	Homo sapiens	66Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16678	CVCL_CR14	no available	Homo sapiens	55Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16679	CVCL_CR15	no available	Homo sapiens	42Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16680	CVCL_CR16	no available	Homo sapiens	43Y	no available	Female	no available	Parkinson disease 8, autosomal dominant	no available	Peripheral blood	no available
ND16682	CVCL_CR17	no available	Homo sapiens	56Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16689	CVCL_CR18	no available	Homo sapiens	69Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16691	CVCL_IF48	no available	Homo sapiens	18Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16705	CVCL_GM62	no available	Homo sapiens	74Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND16706	CVCL_ED08	no available	Homo sapiens	40Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND16707	CVCL_GM63	no available	Homo sapiens	61Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND16710	CVCL_FZ72	no available	Homo sapiens	no available	Age unspecified	Female	no available	Subarachnoid hemorrhage	no available	Peripheral blood	no available
ND16712	CVCL_IK41	no available	Homo sapiens	65Y	no available	Male	no available	Primary lateral sclerosis	no available	Peripheral blood	no available
ND16713	CVCL_IK42	no available	Homo sapiens	53Y	no available	Male	no available	Primary lateral sclerosis	no available	Peripheral blood	no available
ND16714	CVCL_CR19	no available	Homo sapiens	52Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16716	CVCL_IK43	no available	Homo sapiens	61Y	no available	Male	no available	Primary lateral sclerosis	no available	Peripheral blood	no available
ND16719	CVCL_CR20	no available	Homo sapiens	73Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16721	CVCL_IH54	no available	Homo sapiens	76Y	no available	Female	no available	Cerebral hemorrhage	no available	Peripheral blood	no available
ND16722	CVCL_CR21	no available	Homo sapiens	45Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16725	CVCL_CR22	no available	Homo sapiens	78Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND16726	CVCL_CR23	no available	Homo sapiens	70Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19179	CVCL_ED09	no available	Homo sapiens	57Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19180	CVCL_FC02	no available	Homo sapiens	86Y	no available	Female	no available	Transient ischemic attack	no available	Peripheral blood	no available
ND19183	CVCL_IF49	no available	Homo sapiens	45Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19184	CVCL_CR24	no available	Homo sapiens	68Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19186	CVCL_CR25	no available	Homo sapiens	69Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19187	CVCL_HW23	no available	Homo sapiens	no available	Age unspecified	Female	no available	Intracranial aneurysm	no available	Peripheral blood	no available
ND19188	CVCL_FZ73	no available	Homo sapiens	no available	Age unspecified	Male	no available	Subarachnoid hemorrhage	no available	Peripheral blood	no available
ND19190	CVCL_CR26	no available	Homo sapiens	45Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19191	CVCL_GM64	no available	Homo sapiens	69Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19195	CVCL_GM65	no available	Homo sapiens	56Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND19196	CVCL_IF50	no available	Homo sapiens	29Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19197	CVCL_IF51	no available	Homo sapiens	33Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19198	CVCL_EH73	no available	Homo sapiens	68Y	no available	Male	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND19199	CVCL_GM66	no available	Homo sapiens	68Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND19200	CVCL_GM67	no available	Homo sapiens	67Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19202	CVCL_CR27	no available	Homo sapiens	64Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19207	CVCL_ED10	no available	Homo sapiens	69Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19214	CVCL_CR28	no available	Homo sapiens	29Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19217	CVCL_GM68	no available	Homo sapiens	69Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19218	CVCL_EH74	no available	Homo sapiens	66Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND19226	CVCL_CR29	no available	Homo sapiens	69Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19237	CVCL_ED11	no available	Homo sapiens	88Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19238	CVCL_ED12	no available	Homo sapiens	60Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19240	CVCL_ED13	no available	Homo sapiens	47Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19248	CVCL_CR30	no available	Homo sapiens	72Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19249	CVCL_CR31	no available	Homo sapiens	51Y	no available	Male	Jewish; Ashkenazi	Parkinson's disease	no available	Peripheral blood	no available
ND19251	CVCL_ED14	no available	Homo sapiens	73Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19254	CVCL_CR32	no available	Homo sapiens	52Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19256	CVCL_FE66	no available	Homo sapiens	65Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND19259	CVCL_GM69	no available	Homo sapiens	59Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND19260	CVCL_EH03	no available	Homo sapiens	76Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND19261	CVCL_CR33	no available	Homo sapiens	54Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19263	CVCL_FE67	no available	Homo sapiens	65Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19266	CVCL_HW24	no available	Homo sapiens	no available	Age unspecified	Female	no available	Intracranial aneurysm	no available	Peripheral blood	no available
ND19269	CVCL_CR34	no available	Homo sapiens	65Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19270	CVCL_CR35	no available	Homo sapiens	62Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19271	CVCL_CR36	no available	Homo sapiens	60Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19273	CVCL_CR37	no available	Homo sapiens	62Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19276	CVCL_IK44	no available	Homo sapiens	69Y	no available	Male	no available	Primary lateral sclerosis	no available	Peripheral blood	no available
ND19277	CVCL_CR38	no available	Homo sapiens	54Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19278	CVCL_CR39	no available	Homo sapiens	76Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19283	CVCL_ED15	no available	Homo sapiens	67Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19285	CVCL_ED16	no available	Homo sapiens	68Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19303	CVCL_FL80	no available	Homo sapiens	1Y	no available	Female	no available	Seizure disorder	no available	Peripheral blood	no available
ND19304	CVCL_CR40	no available	Homo sapiens	75Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19309	CVCL_GM70	no available	Homo sapiens	43Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND19325	CVCL_CR41	no available	Homo sapiens	68Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19326	CVCL_CR42	no available	Homo sapiens	65Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19327	CVCL_CR43	no available	Homo sapiens	71Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19330	CVCL_ED17	no available	Homo sapiens	62Y	no available	Male	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19331	CVCL_ED18	no available	Homo sapiens	73Y	no available	Female	no available	Ischemic cerebrovascular accident	no available	Peripheral blood	no available
ND19335	CVCL_CR44	no available	Homo sapiens	70Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19336	CVCL_CR45	no available	Homo sapiens	70Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19342	CVCL_EH75	no available	Homo sapiens	59Y	no available	Male	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND19347	CVCL_EH76	no available	Homo sapiens	76Y	no available	Male	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND19348	CVCL_IF52	no available	Homo sapiens	83Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND19351	CVCL_CR46	no available	Homo sapiens	59Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19354	CVCL_EH77	no available	Homo sapiens	79Y	no available	Male	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND19355	CVCL_GM71	no available	Homo sapiens	77Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND19356	CVCL_GM72	no available	Homo sapiens	76Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19368	CVCL_CR47	no available	Homo sapiens	49Y	no available	Female	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19369	CVCL_CR48	no available	Homo sapiens	55Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19371	CVCL_CR49	no available	Homo sapiens	76Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19372	CVCL_CR50	no available	Homo sapiens	55Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19373	CVCL_IF53	no available	Homo sapiens	70Y	no available	Female	no available	no available	no available	Peripheral blood	no available
ND19388	CVCL_EH78	no available	Homo sapiens	55Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND19389	CVCL_GM73	no available	Homo sapiens	60Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19392	CVCL_CR51	no available	Homo sapiens	68Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19393	CVCL_EH79	no available	Homo sapiens	69Y	no available	Female	no available	Progressive supranuclear palsy	no available	Peripheral blood	no available
ND19394	CVCL_GM74	no available	Homo sapiens	69Y	no available	Male	no available	no available	no available	Peripheral blood	no available
ND19403	CVCL_CR52	no available	Homo sapiens	58Y	no available	Male	no available	Parkinson's disease	no available	Peripheral blood	no available
ND19404	CVCL_IF54	no available	Homo sapiens	44Y	no available	Female	no available	no available	no available	Peripheral blood	no available
